factives,hedges,implicatives,report_verbs,bias,negative_words,positive_words,negative_colloquial_words,positive_colloquial_words
,ربما,,يعلن,مؤلف,مدمن,مزايا,احتلال,دعمك
,يفترض,,يدافع,سلطة,الإدمان,مغامر,احتلوا,رحمه
,مفترض,,الدفاع,جائزة,المدمنين,يدافع عن,احتياج,ريالين
,من المفترض,,يطلب,بعيد,تحذير,دعا,احتيال,رزق
,محتمل,,يوضح,طفل,محزر,دعاة,احذر,رزقك
,من المحتمل,,ينكر,سيء,بشكل عتاب,الود,احرق,رزقه
,نسبياً,,يصف,بنك,عتاب,ودود,احق,رضى
,بقوة,,يحدد,بربري,زنا,بلطف,احمق,رفقا
,بقسوة,,يعارض,قاعدة,مغشوشة,التكلف,اخرجوا,عظيم
,يبدو,,يكشف عن,دب,غش,عاطِفَة,اخزى,عظيمه
,أحيانا,,تعارض,يبدأ,الزاني,حنونة,اخس,عاقل
,قليلا,,الكشف عن,تصرف ,عدائي,التقارب,اخطاء,طموحاتنا
,يقترح,,تخفيض,سلوك,الخصم,يؤكد,اخطاءهم,ضيف
,مقترح,,يكتشف,الاعتقاد,سلبي,تأكيد,اخفاقاتهم,ضحك
,يفترض,,يناقش,يظن,الشدائد,اثبات,اخلاقي,سعادتي
,يشتبه,,يرفض,يعتقد,تصيب,ترف,اخلفوا,سعاده
,تميل إلى,,رفض,أحسن ,محنة,ثري,ادبه,اثق
,يميل إلى,,يتجادل ,أفضل,حزينة,يمنح,اذى,ابسط
,عادي,,ينازع,أفضل مبيعات,إهانة,بسعر معقول,اذية,الكريم
,عادة,,يتجاهل,بربرية ,خائف,بأسعار معقولة,ارجوك,ابتسم
,غير مؤكد,,تجاهل,البهيمية,تزيد من حدة,بأسعار معقولة,ارحل,ابداعات
,بشكل غير مؤكد,,يشك,خيانة,مشددة,رشيق,ارحموهم,ابكاهم
,غير واضح,,شك,الكتاب المقدس,التفاقم,بخفة,ارغامنا,اجانب
,بشكل غير واضح,,يؤكد,أسقف,عدوان,خفة الحركة,ازعل,اجتهد
,من غير المرجح,,يشجع,لوم,عنيف,مقبول,اساء,اجلال
,عادة,,تأييد,قصف,عدوانية,موافقة,اساءت,اجمل
,على نطاق واسع,,يوقف مع,كتاب,المعتدي,بشكل مقبول,استحلو,اجنبيه
,محتمل,,يؤيد,فرع,تحزن,في كل مكان,استعراض,احبهم
,وتقترح,,يساوي,استراحة,مظلوم,مغرية,استعلاء,احترام
,من هذا المنظور,,تقدير,يحضر,تفاقم,بشكل مغري,استغرب,احترامي
,من وجهة نظري,,يتوقع,بريطاني,مذعور,عنده إيثار,استغلالها,احترم
,في تصوري,,يشرح,مبنى,معاناة,بإيثار,استفردنا,احترموهم
,في هذا الرأي,,يعبر,حافلة,يتألم,تدهش,استفزاز,احتكار
,في رأينا,,يمجد,عمل,مبرح,مندهش,استفزازهم,احتواء
,في رأيي,,تمجيد,يشتري,بشكل مؤلم,دهشة,استقالته,احرص
,على حد علمي,,يخاف,يتصل,سكرة,يذهل,استنزاف,احسنتم
,تماما,,يشعر,يخطف,جنحت,مدهش,استهانه,احفظها
,تمامًا,,يجد,يأسر,مريض,مثير للدهشة,استهتر,احق
,بدلاً,,حرم,قضية,وعكة,طموح,استهزاء,احلامه
,يجادل,,يجس النبض,كاثوليكي,بلا هدف,بطموح,استوفينا,اخلاص
,يجادل,,تنبؤ بالمناخ,قرن,إنذار,تحسين,استوفيناها,اخلاصه
,جادل,,تنبأ,تأكيد,منزعج,قابل,استيطان,اخلاق
,المطالبات,,ينسى,تحدي,مثيرة للقلق,الراحة,اسف,اخوه
,يشعر,,يجتمع,يتغير,بشكل مثير للقلق,الود,اسقاطات,ادعم
,يشير,,يضمن,يتفوق,ينفر,وديًا,اسكاتنا,ادعموهم
,مفترض,,يتوقع,تفوق ,منبوذ,ودي,اسوفينا,ارباحه
,المشتبه فيهم,,يخمن,تميز,نقل ملكية,الودية,اشتراكين,ارتقوا
,الافتراضات,,يسمع,تكلفة,ادعاء,ظريف,اشتكيهم,ارحمك
,يحس ,,تَلمِيح,شوفيني,ادعاءات,حبيا,اشحاتين,ارزاق
,المفروض,,يأمل,طفل,يزعم,الصداقة,اشر,ارزق
,يفترض ,,يوضح,الصين,الحساسية,وافرة,اصالتهم,ارزقنا
,نسبيا,,يتصور,مسيحي,حساسية,بإسهاب,اصعب,ارزقهم
,كلهم يقولون,,يلمح,كنيسة,منعزل,سلى,اضراب,ارقى
,الناس تقول,,لمح,استشهد,مشادة,مسلية,اضطهدتنا,اروعك
,,,يشير,مواطن,التباس,بشكل مسلي,اطرد,ازدهاره
,,,يخبر,مدينة,غامض,ملاك,اعداء,استانس
,,,يدرج,تنظيف ,التناقض,ملائكي,اعداءك,استبشارهن
,,,يصر,مدني,مشاعر متناقضة,تأليه,اعدل,استثمار
,,,يرشد,طلب ,كمين,جاذبية,اغاثه,استغناء
,,,يفسر,مطلب,خاطئ,جذابة,اغبى,استغنينا
,,,يدعو,مطالبة,بتر,نشيد,اغبياء,استفاد
,,,يبرر,تطهير,الفوضوية,ملموس,اقذع,استنفذت
,,,يتعلم,واضح,فوضوي,يُقَدِّر,اقسى,استيعاب
,,,يحافظ على,بوضوح,فوضى سياسية,مُقدَّر,اقسي,اسيادكم
,,,يقصد,يغلق,فقر الدم,يقدر,اقصونا,اشقاء
,,,يذكر,النادي,الغضب,تقديرا,اقلعوهم,اصدقاء
,,,يتفاوض,ينهار,بغضب,بتقدير,اكاذيبكم,اصلاء
,,,تفاوض,مستعمرة,الغضب,ملائم,اكرمت,اصيل
,,,باينه,يأتي,غاضب,موافقة,اكرمتموني,اضراب
,,,واضحة,تبدأ,معاناة,يعتمد,اكرمكم,اطالب
,,,ملحوظة,تعليق,العداء,متحمس,الأجانب,اطعم
,,,يراقب,المعلق,إبادة,بحماس,الأخلاق,اطمئن
,,,يعرض,منتشر,تزعج,الحماس,الألم,اطيب
,,,يعارض,شائع,إزعاج,يتكلم بوضوح,الأنانيه,اعتراض
,,,يطلب,شعبية,مضايقات,طموح,الئيم,اعتماد
,,,طلب,شيوعي,متضايق,تطلعات,الابشع,اعظمك
,,,يقنع,مجتمع,مزعج,أطمح,الاجانب,اغتنوا
,,,يتعهد,معقد,بشكل مزعج,توكيد,الاجحاف,اغنياء
,,,يشير,واضح,يزعج,ضمانات,الاجدر,افرحني
,,,نشير,مفهوم,شاذ,أؤكد,الاجنبي,افضل
,,,يمدح,هم,شذوذ,بالتأكيد,الاجنبيه,اقرباء
,,,يتنبأ,نلخص,عداوة,مؤكدا,الاحباط,اكتفاء
,,,يفضل,نستنتج,خصم,اذهل,الاحتيال,اكرام
,,,يعد,انتقده ,معادية,مندهش,الاحلام,اكرمت
,,,اِسْتَدْعَى,ادانة,يقاوم,مذهل,الاخطار,اكرمته
,,,اقترح,حالة,مضاد-,بشكل مدهش,الاخطر,اكرمك
,,,يقترح,يتأكد,معادية لأمريكا,دهشة,الاخونجيه,اكفء
,,,يعترض,ملتزم,معادية لإسرائيل,الذهول,الارزاق,اكفاء
,,,يثبت,محافظ,مناهضة الاحتلال,بالذهول,الارهاب,اكفها
,,,يستفز,يعتبر,مكافحة الانتشار,مذهل,الازدراء,الءيم
,,,يقتبس,مؤامرة,معاداة السامية,بشكل مذهل,الازمات,الإستغناء
,,,يرفع,محتوى,معادية للمجتمع,بذكاء,الازمه,الاجتهاد
,,,تجمع,يتناقض ,ضدنا,منتبه,الاساءه,الاجنبي
,,,يقرأ,يتعارض,مكافحة الأبيض,جاذبية,الاستغناء,الاحترام
,,,أعد التأكيد,يتحكم,الكراهية,جذاب,الاستفزاز,الاحساس
,,,يدرك,جدلي,عتيق,بشكل جذاب,الاستهتار,الاخلاص
,,,يدرك,الجدل,متناقض,تناغم,الاستهزاء,الاخلاق
,,,دفع بالحجة,يتحول,قلق,مسموع,الاسف,الارزاق
,,,يتذكر,حجر الأساس,قلق,بصوت مسموع,الاسوء,الازدهار
,,,يعتقد,صحيح,بقلق,الميمون,الاصلاح,الاستثمار
,,,ظن,مراسل,القلق,أصلي,الاضرابات,الاستغناء
,,,يعتبر,فساد,لا مبالي,موثوق,الاعناق,الاشقاء
,,,اعتقد,يكلف,بلا مبالاة,واثق من نفسه,الاغبياء,الاصاله
,,,ظن,دولة,اللامبالاة,متاح,الافلاس,الاطمئنان
,,,اعتبر,يخلق,القيامة,جزم,الاكتفاء,الافضل
,,,يوصي,خلق,المروع,متعطشا,الالم,الاقدار
,,,يشير إلى,جريمة,مدافع,بشغف,الامانه,الاقدميه
,,,يعكس,مجرم,المدافعون,جائزة,الامبالاه,الاكتفاء
,,,رفض,الناقد,أرعب,منحت,الامل,الاكفاء
,,,دحض,نقد,مروع,الجوائز,الاميه,الامان
,,,يكرر,ينتقد,مروعة,الرهبة,الانانيه,الامانه
,,,يرفض,يحشد,بشكل مروع,مرعوب,الانتظار,الامل
,,,يتصل,Bias,تخوف,مذهل,الانتقاص,الامن
,,,يتذكر,جماعة,المخاوف,بذهول,الانتهازيه,الانتاجيه
,,,يكرر,ثقافة,تخوف,الذهول,الانذال,الانتظار
,,,إعادة التأكيد,حاضر,بشكل مخيف,ممتلئ بالرهبة,الانسحاب,الانتماء
,,,اعادة التاكيد,حاليا,اِعتِباطِيّ,رائع,الاهانه,الانيق
,,,يكشف,يوم,غامض,العمود الفقري,الاولويه,الاهتمام
,,,يرى,اتفاق,ممات,متوازن,الباءس,الايرادات
,,,يعرض,موت,شاقة,مساومة,البائس,البؤساء
,,,يشير,مزيف,بشق الأنفس,جميل,الباهظه,البطاله
,,,يغني,زيف,جدلية,تجميل,البجاحه,البلد
,,,قوية,يفضح,غطرسة,جمال,البجح,البناء
,,,ضربة عنيفة,فضح,متكبر,يومئ,البجحين,التخلف
,,,يتضارب,فضح زيف شيء ما,بغطرسة,أشار,البجيحين,التستر
,,,يسلك,يعلن,خجلان,يومئ,البدعيه,التسهيلات
,,,سلك,الدفاع,أبله,يومئ,البشعه,التشجيع
,,,الانتشار,مدافع,بشكل تافه,يمكن تصديقه,البطالة,التطور
,,,ولاية,دفاع,بارتياب,يمكن تصديقه,البطاله,التعايش
,,,يتولى,يعرف,خشونة,الحبيب,البغيضه,التعساء
,,,يضغط,يطلب,الطعن,فاعل خير,البلاء,التفاؤل
,,,ينص ,ديمقراطي,الطعن,نافع,البلد,التقدم
,,,تنص,يوضح,هجوم,نافع,البلهاء,التقدير
,,,ضغط,فئة,قاتل,بشكل مفيد,التاخير,التمكن
,,,يقترح,انكر,اغتال,المستفيد,التافهين,التمني
,,,يدعم,ينكر,يتعدى,فائدة,التحكم,التوفيق
,,,يفترض,يصمم,الاعتداء,فوائد,التخبط,الثقافه
,,,يخمن,مصمم,ضلال,الإحسان,التذمر,الثقه
,,,يشتبه,تصميم,افترق,خير,الترحيل,الجميل
,,,يُقسم,بالرغم من,فظيعة,الفوائد,التزام,الجهل
,,,يعلم,مهلكة,الفظائع,أفضل,التضيق,الجوده
,,,يخبر,مدمرة,فظاعة,الأكثر شهرة,التعب,الجوع
,,,يشهد,ديكتاتور,تلاشي,افضل اداء,التعجيز,الحب
,,,يفكر,تعارض,هجوم,أفضل مبيعات,التعجيزيه,الحبيب
,,,يهدد,كارثة,الهجمات,أحسن,التعدي,الحزن
,,,هدد,كارثية,جريء,معروف,التعقيد,الحسد
,,,أخبر,ينازع,بجرأة,أفضل من المتوقع,التعمير,الحضارات
,,,كشف,مشوه,الجرأة,جميل,التعين,الحضاره
,,,تسطير,تشوه,بصوت مسموع,بلا لوم,التفاهات,الحق
,,,تسطير أسفل السطر,وثيقة,التقشف,يبارك,التمادي,الحقد
,,,يحث,يسقط,استبدادي,بركة,التملق,الحقوق
,,,يصوت,سلالة حاكمة,المستبد,النعيم,التنميه,الحل
,,,ينذر,مبكر,استبدادي,هناء,التهميبش,الحلم
,,,يحذر,تخصيص,انهيار ثلجي,بسعادة,التهميش,الحلو
,,,يتمنى,تأثير,الجشع,مرح,التواطي,الحلول
,,,يتعجب,جهد,جشع,اقبال كبير,التوطين,الحماس
,,,يقلق,العدو,بجشع,يزدهر,الثقه,الحنون
,,,,يهرب,انتقم,زهر,الجاحدين,الخائفين
,,,,ضروري,كاره,دعم,الجاهل,الخوف
,,,,يرسخ,النفور,بوني,الجاهليه,الخير
,,,,عرقي,رهيبة,علاوة,الجبانه,الخيرات
,,,,إخلاء,مريع,المكافآت,الجحود,الخيره
,,,,ممتاز,بفظاعة,فقاعة,الجحيم,الخيرين
,,,,ينفذ,فظاعة,مزدهر,الجرائم,الدعم
,,,,منفى,محرج,يعزز,الجراذي,الذ
,,,,يخرج,الاحراج,لا حدود لها,الجزيه,الرازقين
,,,,نزوح,فأس,وافر,الجشع,الرزاق
,,,,خبرة,الثرثرة,الأكثر ذكاءً,الجميل,الرزق
,,,,يفضح,تم تسجيله مرة أخرى,ذكي,الجنه,الرشيده
,,,,طرد,الخشب الخلفي,علامة تجارية جديدة,الجهد,الرضا
,,,,إبادة,الغابة الخلفية,شجاع,الجهل,الرغبه
,,,,متطرف,غيبة,شجاعة,الجوده,السعاده
,,,,فاشل,الغيبة,أحسنت,الجوع,السعوده
,,,,فشل,الى الوراء,اختراق,الحاسدين,السعي
,,,,إيمان,التخلف,اختراقات,الحاقدين,السياده
,,,,سبك,خشب خلفي,ضيق التنفس,الحرب,الشاغره
,,,,مزيف,غابات خلفية,مبهر,الحرمان,الشرف
,,,,مشهور,سيء,بشكل مذهل,الحساسه,الشرفاء
,,,,معجب,بشكل سيئ,نسيم,الحسد,الشهره
,,,,التعصب,يربك,ساطع,الحشرات,الصافيه
,,,,فاشي,حيرة,سطع,الحط,الصبر
,,,,ميزة,محير,أكثر إشراقا,الحق,الصدق
,,,,يعارك,يعوق. يحبط,ألمع,الحقد,الصفعه
,,,,مقاتل,عادي,تألق,الحقير,الضراعه
,,,,فيلم,تافه,تألق,الحقيره,الضعفاء
,,,,يجد,اللعنة,باهِر,الحل,الضمير
,,,,العثور على,نفي,ببراعة,الحلول,الطموح
,,,,يلقى,تغريب,انتعش,الحمقاء,الطيب
,,,,لقى,مفلس,أخوي,الحمله,الطيبه
,,,,مركز,بربري,صاعد,الخائن,الظلم
,,,,ركز,همجي,مزدهر,الخاتمه,العادله
,,,,يتبع,بربرية,تملق,الخبله,العاطلات
,,,,قوة,همجي,هادئ,الخذلان,العاطلين
,,,,تشكيل,بوحشية,تهدئة,الخطر,العاقل
,,,,المنتدى,قاحل,الهدوء,الخير,العالم
,,,,فرنسا,لا أساس له,الإمكانية,الدخيل,العالمله
,,,,حرية,سحق,قادر,الدعم,العامره
,,,,مثلي الجنس,تهاجم,بقدرة,الدموع,العامله
,,,,الإبادة الجماعية,عفيف النفس,يأسر,الذنوب,العثرات
,,,,عالمي,تقريع,آسر,الرافضي,العدل
,,,,جيد,نذل,براحة البال,الرحيل,العزم
,,,,حكومة,الأوغاد,استرداد النقود,الرخاء,العزه
,,,,عظيم,للضرب,استرداد النقود,الرزق,العشق
,,,,أزرق,الضرب,جذاب,الرشاوي,العطاء
,,,,أخضر,باتي,احتفل,الرشوه,العظيم
,,,,بطل,سبحة,احتفل,الرفض,العظيمه
,,,,خطف,وحشي,احتفال,الزبال,العلم
,,,,هندوسية,هرج ومرج,احتفالي,الزعلانين,العماله
,,,,مؤرخ,المخبول,بطل,السائبه,العنصريه
,,,,تاريخي,لوث,بطل,السب,العوز
,,,,تاريخي,إفترض جدلا,جاذبية,السخريه,الغالي
,,,,تاريخيا,متسول,الكاريزمية,السذوب,الفاضي
,,,,تاريخ,التسول,خيرية,السفله,الفرج
,,,,يمسك,لهى,سحر,السكوت,الفرح
,,,,البلد الام,متأخرا,أَخَّاذ,السوء,الفرص
,,,,مثلي الجنس,المحاصر,بشكل ساحر,السيء,الفرصه
,,,,الشذوذ الجنسي,كذب,عفيف,السيئه,الفضل
,,,,شرف,استخفاف,أرخص,الشتاءم,الفقيره
,,,,يأمل,التقليل من شأن,ارخص,الشتم,القدره
,,,,عدائي,عدواني,يشجع,الشده,القديمات
,,,,هوية,العداء,مبتهج,الشر,القضاء
,,,,أيديولوجية,محارب,مبتهج,الشكوي,القهر
,,,,مو قانوني,بشكل عدواني,يعتز,الصفعه,القوميه
,,,,غير شرعي,تحسر,العزيزة,الضاله,القوه
,,,,من تحت الطاولة,التحسر,الكروب,الضرا,القوى
,,,,غير قانوني,مرتبك,أناقة,الضرائب,الكرام
,,,,فرض,عازمة,شهم,الضرايب,الكرامه
,,,,بديع,توبيخ,الفروسية,الضرب,الكرم
,,,,يحسن,ثكل,الكياسة,الضعيفات,الكريم
,,,,ما ينفع,الثكل,حضارة,الضغط,الكريمه
,,,,غير مناسب,مجردة,وضوح,الضمير,الكفاءات
,,,,يشمل,هائج,كلاسيكي,الطبيه,الكفاءه
,,,,يزيد,توسل,أنيق,الطفيليه,الكفايه
,,,,استقلال,تعاني,ينظف,الطيبه,المؤهلين
,,,,مستقل,يحاصر,منظف,الظالم,المتعاونات
,,,,هندي,لوث,أنظف,الظالمون,المتعلم
,,,,يشير,وحشي,النظافة,الظلم,المثاليه
,,,,الإنديوم,خيانة,نظيفة,الظلمه,المثقف
,,,,فردي,الخيانات,واضح,العائق,المجد
,,,,تأثير,خائن,معالمه واضحة,العائل,المحبه
,,,,يصر,يخون,واضح المعالم,العابثين,المحترم
,,,,مثال,ندب,مسح,العادل,المحترمه
,,,,بدلا من,احذر,أكثر وضوحا,العاطل,المخلصين
,,,,مؤسسة,حيرة,بوضوح,العاطلات,المراقبة
,,,,دولي,حائرا,يمسح,العاطلون,المزركشه
,,,,دوليا,محير,ماهر,العاطلين,المساعدات
,,,,التدخل,بشكل محير,بذكاء,العبث,المساواه
,,,,تدخل,حيرة,التحم,العتب,المستثمر
,,,,غزو,سحر,منطق,العتمه,المصلحه
,,,,إسرائيل,تحيز,متماسك,العجز,المطالبه
,,,,اليهودي,متحيزة,متماسك,العدل,المظلومات
,,,,مجلة,التحيزات,الوانه زاهية,العدو,المعرفه
,,,,عدالة,متشاحن,زاهى الألوان,العزيز,المعروف
,,,,قتل,المشاحنات,جميل,العصبيه,المفكر
,,,,الكورية,تزوير العطاءات,راحة,العصيان,المقيم
,,,,يطلق,التعصب,مريح,العطاله,المكارم
,,,,يقود,التعصب,بشكل مريح,العظيم,المنفعه
,,,,قائد,عاهرة,مريح,العقبات,المهاجر
,,,,التشريع,مشاكس,مريح,العقبه,المهزله
,,,,أسطورة,عض,أثني,العكر,المهموم
,,,,شرعي,لاذع,جدير بالثناء,العماله,المواطن
,,,,ليبرالية,مر,التزام,العنصرية,النجاح
,,,,تحرير,بمرارة,مريح,العنصرين,النصيب
,,,,تحرير,مرارة,المدمج,العنصريه,النظافة
,,,,تكذب,غريب,بشكل مضغوط,الغاضبين,النظيف
,,,,يكذب,ثرثار,عطف,الغبي,النهضه
,,,,كذاب,ثرثرة,رحيم,الغثاء,الواعي
,,,,كذب,ابتزاز,متناسق,الغش,الود
,,,,حرفيا,بلاه,تنافسي,الغلط,الوطنية
,,,,يخسر,لوم,إطراء,الغو,الوظيفة
,,,,رئيسي,جدير باللوم,مكمل,الفاسده,الوعي
,,,,غالبية,ماصخ,يكمل,الفاسدين,الوفاء
,,,,مجزرة,تملق,متوافق,الفاشل,امان
,,,,مذبحة,كفر,إطراء,الفاشلين,امانه
,,,,يتوسط,تجديف,مجامله,الفاضي,اماني
,,,,واسطه,انتقد,شامل,الفتن,امانيهم
,,,,عضو,صارخ,التوفيق,الفتنه,امجادهم
,,,,مرتزق,بشكل صارخ,تصالحي,الفجره,امل
,,,,مكسيكي,ثرثار,مختصرا,الفراغ,املا
,,,,الهجرة,كئيب,ثقة,الفرج,املنا
,,,,متشدد,بشكل كئيب,واثق,الفرص,امن
,,,,جيش,كآبة,ملائم,الفرصه,امنا
,,,,اقليه,ينزف,تهنئة,الفساد,امناه
,,,,اقلية,نزيف,تهنئة,الفشل,امنة
,,,,أقلية,ينزف,تهانينا,الفقر,امننا
,,,,وهمية,عيب,تهنئة,الفقراء,امني
,,,,الملكية,أعمى,منجز وفقا لما يمليه الضمير,الفوضى,امنيات
,,,,راهب,المسببة للعمى,تراعي,الفوقيه,امنياتك
,,,,موسكو,بشكل مبهر,ثابت,القبليه,امنياتنا
,,,,خرافة,الجانب الأعمى,باستمرار,القبيحه,امين
,,,,أمة,بثرة,بناء,القتل,انتاجيه
,,,,وطني,لاذعة,بارع,القدره,انتظارها
,,,,قومي,منتفخة,الرضا,القديمات,انتمي
,,,,مجرم,انسداد,استمرارية,القذره,انجاح
,,,,مفسد,الأبله,تباين,القهر,انجاز
,,,,فساد,إراقة الدماء,مساهمة,القومجي,انصفتمونا
,,,,فاسد,متعطش للدماء,راحة,القومجيه,انطواءي
,,,,سمعة سيئة,دموي,مريح,القيمه,انظف
,,,,سيئة السمعة,مبقع,ملائم,الكارثه,انعاش
,,,,أوباما,ينفخ,وسائل الراحة,الكبر,انكفاءي
,,,,بوضوح,خطأ فادح,مريح,الكذب,انهكها
,,,,إشغال,تخبط,ملائم,الكراهيه,اولى
,,,,تشغل,الأخطاء الفادحة,مقنع,الكرف,اولي
,,,,يحدث,صريح,بشكل مقنع,الكرم,باستبشارهن
,,,,قديم,طمس,رائع,الكرماء,بامتياز
,,,,يفتح,طمس,أروع,الكريم,بحقه
,,,,عملية,غير واضح,تعاوني,الكوارث,بخيارت
,,,,يهودي,عدم وضوح,بشكل تعاوني,اللوم,بخيرات
,,,,العدو,ضبابي,حجر الأساس,المالي,بركه
,,,,الخصم,يطمس,صحيح,المبطنه,بشاره
,,,,يعارض,متبجح,بشكل صحيح,المبكي,بشرنا
,,,,معارضة,حير,فعاله من حيث التكلفه,المتسترين,بطاله
,,,,طلب,زائف,التوفير في التكاليف,المتشائمين,بعفو
,,,,منظمة,دمل,هجوم مضاد,المتضر,بلاء
,,,,إبداعي,الغليان,هجمات مضادة,المتطفله,بلد
,,,,حزب,عاصف,شجاعة,المتفرج,بناء
,,,,تربيتة,قنبلة,شجاع,المتقاعدين,بنينا
,,,,يتصور,قصف,بشجاعة,المتملقين,بهم
,,,,اضطهاد ,منمق,الشجاعة,المتنكر,تاخر
,,,,الاضطهاد,عبودية,مهذب,المتهالكه,تباشير
,,,,يشتغل على نفسه,مجنون,بلطف,المجرمه,تبخل
,,,,مجتهد,تجويف,عهد,المجهولين,تبدع
